Topic,Question,Option A,Option B,Option C,Option D,Correct Answer,subcategory
Rules of Engagement (TBS B130936),You spot armed individuals loitering near a restricted area.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Weapons Control Status (WCS)
Rules of Engagement (TBS B130936),A building contains a weapons cache but is part of a school.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Weapons Control Status (WCS)
Rules of Engagement (TBS B130936),Your patrol comes across bodies with no weapons nearby.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Weapons Control Status (WCS)
Rules of Engagement (TBS B130936),You find weapons buried near a civilian farm.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Weapons Control Status (WCS)
Rules of Engagement (TBS B130936),A known enemy commander is spotted without weapons.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Weapons Control Status (WCS)
Rules of Engagement (TBS B130936),A person tries to enter a restricted zone claiming to be lost.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Weapons Control Status (WCS)
Rules of Engagement (TBS B130936),You're ordered to open fire on a building with uncertain occupants.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Weapons Control Status (WCS)
Rules of Engagement (TBS B130936),You spot armed individuals loitering near a restricted area.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Weapons Control Status (WCS)
Rules of Engagement (TBS B130936),A building contains a weapons cache but is part of a school.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Weapons Control Status (WCS)
Rules of Engagement (TBS B130936),Your patrol comes across bodies with no weapons nearby.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Weapons Control Status (WCS)
Rules of Engagement (TBS B130936),You find weapons buried near a civilian farm.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Weapons Control Status (WCS)
Rules of Engagement (TBS B130936),A known enemy commander is spotted without weapons.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Weapons Control Status (WCS)
Rules of Engagement (TBS B130936),A person tries to enter a restricted zone claiming to be lost.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Weapons Control Status (WCS)
Rules of Engagement (TBS B130936),You're ordered to open fire on a building with uncertain occupants.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Weapons Control Status (WCS)
