Topic,Question,Option A,Option B,Option C,Option D,Correct Answer,subcategory
Ethical Dilemmas (ADA590672),"A mission success is being celebrated, but you suspect misconduct occurred.",Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Cover-ups and False Reporting
Ethical Dilemmas (ADA590672),You're told not to report missing equipment to avoid paperwork.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Cover-ups and False Reporting
Ethical Dilemmas (ADA590672),You’re pressured to change your witness statement in a war crime investigation.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Cover-ups and False Reporting
Ethical Dilemmas (ADA590672),You're offered unauthorized medical supplies by a local doctor.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Cover-ups and False Reporting
Ethical Dilemmas (ADA590672),Your team withholds food from a village unless they provide intelligence.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Cover-ups and False Reporting
Ethical Dilemmas (ADA590672),You’re instructed to manipulate casualty numbers in a media briefing.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Cover-ups and False Reporting
Ethical Dilemmas (ADA590672),You're told to fast-track an unqualified soldier for promotion as a favor.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Cover-ups and False Reporting
Ethical Dilemmas (ADA590672),"A mission success is being celebrated, but you suspect misconduct occurred.",Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Cover-ups and False Reporting
Ethical Dilemmas (ADA590672),You're told not to report missing equipment to avoid paperwork.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Cover-ups and False Reporting
Ethical Dilemmas (ADA590672),You’re pressured to change your witness statement in a war crime investigation.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Cover-ups and False Reporting
Ethical Dilemmas (ADA590672),You're offered unauthorized medical supplies by a local doctor.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Cover-ups and False Reporting
Ethical Dilemmas (ADA590672),Your team withholds food from a village unless they provide intelligence.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Cover-ups and False Reporting
Ethical Dilemmas (ADA590672),You’re instructed to manipulate casualty numbers in a media briefing.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Cover-ups and False Reporting
Ethical Dilemmas (ADA590672),You're told to fast-track an unqualified soldier for promotion as a favor.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Cover-ups and False Reporting
